"Refid","Author","Title","Abstract","Accession Number","Art. no.","Article Number","Author Address","Author keywords","Author(s) id","Cited by","Comments","Custom 4","Custom 5","Database","Database Provider","Date","distiller_reference_created_date","distiller_reference_upload_date","Document type","DOI","Eid","Epub Date","File attachment","Index keywords","ISSN","Issue","Journal","Keywords","Label","Language","Legal Note","Level","Link","min_level","NIHMSID","Notes","Number","Open access","Original Publication","Page count","Page end","Page start","Pages","Place Published","PMCID","Publication stage","Publisher","Pubmed id","Rapidscreening","Research Notes","Secondary Author","Section","Short Title","Source","Source title","Translated Title","Type","Type of Work","URL","User","Volume","Year"
210,"Zhang, R., Yuan, Y., Li, H., Hu, X.","Improving the framework for analyzing community resilience to understand rural revitalization pathways in China","… conceptual framework for analyzing CR and to use this framework to … We expect this improved CR analytical framework be … framework. Section 3 presents the improved conceptual …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,"Journal of Rural Studies",,,,,,,,,"Cited By (since 2022): 43",,,,,,,,,,,,,,,,,"Improving the framework for analyzing community resilience to understand rural revitalization pathways in China",,,,JOUR,,https://www.sciencedirect.com/science/article/pii/S0743016722001565,,,2022
211,"Ajibade, J.","Towards More Equitable and Climate Resilient Communities with Jola Ajibade","… include, its wildfire, air pollution, ice storm and flooding. And … social vulnerability and the resilience framework, but also the … But I think it's actually a framework that is promising because …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Towards More Equitable and Climate Resilient Communities with Jola Ajibade",,,,JOUR,,https://pdxscholar.library.pdx.edu/cgi/viewcontent.cgi?article=1019&context=pdxplores,,,2022
212,"Akom, A., Shah, A., Cruz, T.","Building smart, resilient communities and schools: Using a technology platform to transform the social determinants of education with our nation's most …","… To adequately address these challenges the framework calls for … This framework can be considered a “living framework” … planning and implementation; this framework will be refined and …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,"Green schools catalyst quarterly",,,,,,,,,"Cited By (since 2018): 4",,,,,,,,,,,,,,,,,"Building smart, resilient communities and schools: Using a technology platform to transform the social determinants of education with our nation's most …",,,,JOUR,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6419745/,,,2018
213,"Akujuru, Victor A., Ruddock, Les","Economic Value Determination as a Strategy for Building Resilient Communities in the Niger Delta Region","… a contaminated wetland in the niger Delta region of nigeria. figure 5 shows the proposed composite valuation framework for valuing contaminated … a framework for valuing contaminated …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.3846/1648715x.2016.1191558,,,,,"1648-715X 1648-9179",3,"International Journal of Strategic Property Management",,,,,,,,,"Cited By (since 2016): 6",,,,,,,239-251,,,,,,,,,239,"Economic Value Determination as a Strategy for Building Resilient Communities in the Niger Delta Region",,,,JOUR,,"https://www.tandfonline.com/doi/abs/10.3846/1648715X.2016.1191558 https://salford-repository.worktribe.com/preview/1495890/ECONOMIC%20VALUE%20DETERMINATION%20REVIEW%20WITH%20APPENDIX%20%282%29.pdf",,20,2016
214,"Al-Humaiqani, M. M., Al-Ghamdi, S. G.","The built environment resilience qualities to climate change impact: Concepts, frameworks, and directions for future research","… The study concludes that integrated resilience indicators, planning, and design methodology are crucial for incorporating RQs into the framework that influences the built environment. …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,"Sustainable Cities and Society",,,,,,,,,"Cited By (since 2022): 72",,,,,,,,,,,,,,,,,"The built environment resilience qualities to climate change impact: Concepts, frameworks, and directions for future research",,,,JOUR,,https://www.sciencedirect.com/science/article/pii/S2210670722001263,,,2022
215,"Alibašić, H.","Outlining the Strategic Resilience and Sustainability Planning Process for Communities and Organizations","… Resilience and sustainability as a policy and programmatic framework are used by organizations … , industrial pollution, and other determinants impacting the quality of the environment. …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.1007/978-3-030-91159-1_2,,,,,,,"… for Sustainable and Climate-Resilient Communities …",,,,,,,,,,,,,,,,,,,,,,,,,,"Outlining the Strategic Resilience and Sustainability Planning Process for Communities and Organizations",,,,JOUR,,https://link.springer.com/chapter/10.1007/978-3-030-91159-1_2,,,2022
216,"Altendorf, J., Richards, M.","Using Existing Environmental Laws to Build Resilient Arctic Communities","… a framework and guidance for oil discharge and hazardous substance release pollution … to play in the effort to build more resilient communities. For example, USCG Sector Anchorage …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,"International Oil Spill …",,,,,,,,,,,,,,,,,,,,,,,,,,"Using Existing Environmental Laws to Build Resilient Arctic Communities",,,,JOUR,,https://meridian.allenpress.com/iosc/article/2024/1/228s1/502166,,,2024
217,"Alyami, S. H., Aal, A. K. Abd El, Alqahtany, A., Aldossary, N. A.","Developing a holistic resilience framework for critical infrastructure networks of buildings and communities in Saudi arabia","… Saudi Arabia and to develop a holistic resilience framework for buildings and communities. The … Moreover, this paper proposes a holistic framework of key aspects of resilient criteria that …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,Buildings,,,,,,,,,"Cited By (since 2023): 9",,,,,,,,,,,,,,,,,"Developing a holistic resilience framework for critical infrastructure networks of buildings and communities in Saudi arabia",,,,JOUR,,https://www.mdpi.com/2075-5309/13/1/179,,,2023
218,"Arnold, C. A.","Environmental Law, Episode IV: A New Hope: Can environmental Law Adapt for Resilient Communities and Ecosystems","… pollution controls.13 This generation sought to prevent harm to the environment by targeting pollution … the inadequacies of existing structures and frameworks and to the needs created …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,"J. Envtl. &Sustainability L.",,,,,,,,,"Cited By (since 2015): 15",,,,,,,,,,,,,,,,,"Environmental Law, Episode IV: A New Hope: Can environmental Law Adapt for Resilient Communities and Ecosystems",,,,JOUR,,"https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/jesul21&section=5 https://scholarship.law.missouri.edu/cgi/viewcontent.cgi?article=1438&context=jesl",,,2015
219,"Atanga, R. A., Xu, M., Mohammed, A. S., Bonney, B.","Urban Fragments or Fractals of Resilience? A Systematic Review of Empirical Cases of Gated Communities in Accra, Ghana","… Also, there is the realization that resilient communities are … of the quadruple resilience framework dubbed the three-… is at the mercy of pollution, threats from private development and in a …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,"World Development …",,,,,,,,,"Cited By (since 2024): 1",,,,,,,,,,,,,,,,,"Urban Fragments or Fractals of Resilience? A Systematic Review of Empirical Cases of Gated Communities in Accra, Ghana",,,,JOUR,,https://www.sciencedirect.com/science/article/pii/S2772655X2400020X,,,2024
220,"Bagheri, M., Delbari, S. H., Pakzadmanesh, M.","City-integrated renewable energy design for low-carbon and climate-resilient communities","… resilient communities. Given the different types of power customers (eg, residential, commercial and industrial), this work develops a systematic and straightforward framework … pollutants …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,,,,,,,,"Applied energy",,,,,,,,,"Cited By (since 2019): 153",,,,,,,,,,,,,,,,,"City-integrated renewable energy design for low-carbon and climate-resilient communities",,,,JOUR,,https://www.sciencedirect.com/science/article/pii/S0306261919303241,,,2019
221,"Barth, D.","Parks and Recreation System Planning: A New Approach for Creating Sustainable, Resilient Communities","… can be used to create the framework for long-term ecological … plan to reduce stormwater pollution currently entering the city’… to reduce the stormwater pollution of its waterways by as …",,,,,,,,,,,"GS Search 1b",,,"2024-10-03 23:12:34","2024-10-03 23:12:34",,,,,,,,,,,,,,,,,,"Cited By (since 2020): 4","Query date: 2024-09-27 11:08:34",,,,,,,,,,books.google.com,,,,,,"Parks and Recreation System Planning: A New Approach for Creating Sustainable, Resilient Communities",,,,BOOK,,https://books.google.com/books?hl=en&lr=&id=rjfnDwAAQBAJ&oi=fnd&pg=PP1&dq=framework+%22resilient+communities%22+pollution%7Cpolluted%7Cpollutants%7Ccontamination%7Ccontaminated%7Ccontaminants%7Ccontaminates&ots=UsH29Zubrb&sig=EcTS02seMpy73hFhCPH_VhhE2Ls,,,2020
222,"Bennett, Jackson, Baker, Aidan, Johncox, Emily, Nateghi, Roshanak","Characterizing the Key Predictors of Renewable Energy Penetration for Sustainable and Resilient Communities","… new air and water pollution requirements and incorporating … data-centric and generalizable framework to identify the key … The proposed data-centric framework is leveraged to identify …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,10.1061/(asce)me.1943-5479.0000767,,,,,"0742-597X 1943-5479",4,"Journal of Management in Engineering",,,,,,,,,"Cited By (since 2020): 23",,,,,,,,,,,,,,,,,"Characterizing the Key Predictors of Renewable Energy Penetration for Sustainable and Resilient Communities",,,,JOUR,,"https://ascelibrary.org/doi/full/10.1061/(ASCE)ME.1943-5479.0000767 https://par.nsf.gov/servlets/purl/10205632",,36,2020
223,"Bergamini, K., Ángel, P., Rugiero, V., Medina, J. I.","Building Resilient Communities: The Environmental Observatory for Mining Projects and Climate Change Indicators","… This paper begins by presenting an analytical framework for … for the concentrations of pollutants, has been analyzed in … flood, suggesting that the flood carried pollutants into the city from …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,,,,,,,,Sustainability,,,,,,,,,,,,,,,,,,,,,,,,,,"Building Resilient Communities: The Environmental Observatory for Mining Projects and Climate Change Indicators",,,,JOUR,,https://www.mdpi.com/2071-1050/15/8/6947,,,2023
224,"Brelsford, C., Jones, A.","… More Resilient Communities in a Changing Climate Multi-Sectoral Urban Interactions: Fundamental Science Needs to Inform Pathways to More Resilient Communities …","… new theoretical frameworks, observations, and modeling. … mental health through water pollution, air pollution, destruction or … the traditional physically-based framework, or novel machine …",,,,,,,,,,,"GS Search 1b",,,"2024-10-03 23:12:34","2024-10-03 23:12:34",,,,,,,,,,,,,,,,,,"Cited By (since 2021): 1","Query date: 2024-09-27 11:08:34",,,,,,,,,,escholarship.org,,,,,,"… More Resilient Communities in a Changing Climate Multi-Sectoral Urban Interactions: Fundamental Science Needs to Inform Pathways to More Resilient Communities …",,,,BOOK,,"https://escholarship.org/uc/item/75b71620 https://escholarship.org/content/qt75b71620/qt75b71620.pdf",,,2021
225,"Buheji, M.","Visualising Resilient Communities","… In order to effectively visualise and realise more resilient communities, we need to be … framework that could help to visualise and then realise the targeted resilient communities. As …",,,,,,,,,,,"GS Search 1b",,,"2024-10-03 23:12:34","2024-10-03 23:12:34",,,,,,,,,,,,,,,,,,"Cited By (since 2020): 49","Query date: 2024-09-27 11:08:34",,,,,,,,,,books.google.com,,,,,,"Visualising Resilient Communities",,,,BOOK,,"https://books.google.com/books?hl=en&lr=&id=6t_rDwAAQBAJ&oi=fnd&pg=PT3&dq=framework+%22resilient+communities%22+pollution%7Cpolluted%7Cpollutants%7Ccontamination%7Ccontaminated%7Ccontaminants%7Ccontaminates&ots=5UM2NwHJBD&sig=yvXYSJHzQI12dbMB2lbwZgjo6GM http://mac.digitallibrary.co.in/jspui/bitstream/123456789/298/1/9781728399287_ow.pdf",,,2020
226,"Carta, Silvio, Turchi, Tommaso, Pintacuda, Luigi, Jankovic, Ljubomir","RECOMM. Measuring resilient communities: An analytical and predictive tool","… To date, there is still very little work that address net zero design and resilient communities at the … , we examined the resilience framework and identified a key issue associated with its …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,10.1177/14780771231174891,,,,,"1478-0771 2048-3988",3,"International Journal of Architectural Computing",,,,,,,,,"Cited By (since 2023): 2",,,,,,,536-560,,,,,,,,,536,"RECOMM. Measuring resilient communities: An analytical and predictive tool",,,,JOUR,,"https://journals.sagepub.com/doi/abs/10.1177/14780771231174891 https://journals.sagepub.com/doi/pdf/10.1177/14780771231174891",,21,2023
227,"Chiroli, Dmdg, Menezes, M. G., Zola, F. C.","Integrating resilience and sustainability: A systematic analysis of resilient cities using ISO 37123","… on ISO 37123, a framework that has not been commonly … significance of constructing resilient communities that thrive … Conversely, while grappling with industrial pollution issues …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,,,,,,,,"International journal of …",,,,,,,,,"Cited By (since 2023): 11",,,,,,,,,,,,,,,,,"Integrating resilience and sustainability: A systematic analysis of resilient cities using ISO 37123",,,,JOUR,,https://www.sciencedirect.com/science/article/pii/S2212420923004405,,,2023
228,"Costa, H. S. C., Scachetti, R., Vivacqua, M., Choueri, R.","A framework to assess resilience attributes based on local knowledge","… Dredging activity, water contamination and the ban on fishing in port areas were the factors most cited by interviewees as disturbances faced in fisheries in the last 50 years. …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,,,,,,,,"Marine Policy",,,,,,,,,"Cited By (since 2023): 1",,,,,,,,,,,,,,,,,"A framework to assess resilience attributes based on local knowledge",,,,JOUR,,https://www.sciencedirect.com/science/article/pii/S0308597X23002993,,,2023
229,"DasGupta, Rajarshi, Shaw, Rajib","An indicator based approach to assess coastal communities’ resilience against climate related disasters in Indian Sundarbans","… a five dimensional community resilience assessment framework and a composite resilience … the eastern river system and severe environmental pollution (waste water discharge from the …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,10.1007/s11852-014-0369-1,,,,,"1400-0350 1874-7841",1,"Journal of Coastal Conservation",,,,,,,,,"Cited By (since 2015): 140",,,,,,,85-101,,,,,,,,,85,"An indicator based approach to assess coastal communities’ resilience against climate related disasters in Indian Sundarbans",,,,JOUR,,"https://link.springer.com/article/10.1007/s11852-014-0369-1 https://www.researchgate.net/profile/Rajarshi-Dasgupta/publication/270648700_An_indicator_based_approach_to_assess_coastal_communities'_resilience_against_climate_related_disasters_in_Indian_Sundarbans/links/57b6be4608ae19a365fd8994/An-indicator-based-approach-to-assess-coastal-communities-resilience-against-climate-related-disasters-in-Indian-Sundarbans.pdf",,19,2015
230,"Davis, C., Ayyub, B. M., McNeil, S., Kobayashi, K.","Infrastructure Resilience: A Framework for Assessment, Management and Governance","… minimum pressure requirements to ensure contaminants do not leach into the system. … Resilient communities have ability to manage without normal infrastructure services during the …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,10.1007/978-981-19-5566-2_6,,,,,,,"Global Summit of …",,,,,,,,,"Cited By (since 2019): 2",,,,,,,,,,,,,,,,,"Infrastructure Resilience: A Framework for Assessment, Management and Governance",,,,JOUR,,https://link.springer.com/chapter/10.1007/978-981-19-5566-2_6,,,2019
231,"Eneh, N. E., Adeniyi, A. O.","Evaluating environmental legislation on disaster resilience: Data insights from Nigeria and the USA",,,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,,,,,,,,"World Journal …",,,,,,,,,"Cited By (since 2024): 17",,,,,,,,,,,,,,,,,"Evaluating environmental legislation on disaster resilience: Data insights from Nigeria and the USA",,,,JOUR,,,,,2024
232,"Fields, B., Renne, J. L.","Adaptation Urbanism and Resilient Communities","Adaptation Urbanism and Resilient Communities outlines and explains adaptation urbanism as a theoretical framework for understanding and evaluating resilience projects in cities and relates it to pressing contemporary policy issues related to urban climate change mitigation and adaptation. Through a series of detailed case studies, this book uncovers the promise and tensions of a new wave of resilient communities in Europe (Copenhagen, Rotterdam, and London), and the United States (New Orleans and South Florida). In addition, best practice projects in Amsterdam, Barcelona, Delft, Utrecht, and Vancouver are examined. The authors highlight how these communities are reinventing the role of streets and connecting public spaces in adapting to and mitigating climate change through green/ blue infrastructure planning, maintaining and enhancing sustainable transportation options, and struggling to ensure equitable development for all residents. The case studies demonstrate that while there are some more universal aspects to encouraging adaptation urbanism, there are also important local characteristics that need to be both acknowledged and celebrated to help local communities thrive in the era of climate change. The book also provides key policy lessons and a roadmap for future research in adaptation urbanism. Advancing resilience policy discourse through multi- disciplinary framework, this work will be of great interest to students of urban planning, geography, transportation, landscape architecture, and environmental studies, as well as resilience practitioners around the world.",,,,,,,,,,,"GS Search 1b",,,"2024-10-03 23:12:34","2024-10-03 23:12:34",,,,,,,,,,,,,,,,,,"Cited By (since 2021): 14","Query date: 2024-09-27 11:08:34",,,,,,,,,,api.taylorfrancis.com,,,,,,"Adaptation Urbanism and Resilient Communities",,,,BOOK,,"https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9780429026805&type=googlepdf http://science.fau.edu/departments/urban-regional-planning/news/adaptation-urbanism-and-resilient-communities/adaptation-urbanism-tov-intro-chapter.pdf",,,2021
233,"Go, M. H.","Do resilient communities make a resilient city? A conditional yes","… the aforementioned cases within the theoretical framework of post-crisis resilience building. … Scientific information on rising sea levels or sever air pollution and the potential …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,,,,,,,,"A Conditional Yes",,,,,,,,,"Cited By (since 2014): 1",,,,,,,,,,,,,,,,,"Do resilient communities make a resilient city? A conditional yes",,,,JOUR,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2454854,,,2014
234,"Gonçalves, C. D.","Resilient Communities. A non-Catastrophic view to face risks in the Anthropocene","… Chemical pollution. All those risks have social impact. … Within the framework of sustainable development and the resilience paradigm concepts, we must consider that climate change …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,,,,,,,,"… 2022. Estudos sobre o Antropoceno e …",,,,,,,,,"Cited By (since 2022): 2",,,,,,,,,,,,,,,,,"Resilient Communities. A non-Catastrophic view to face risks in the Anthropocene",,,,JOUR,,https://repositorium.sdum.uminho.pt/bitstream/1822/81362/4/GM%202022-Volume%20Coletivo.pdf#page=51,,,2022
235,"Hardy, C., Rivera, C. de, Bliss-Ketchum, L.","Ecosystem connectivity for livable cities: a connectivity benefits Framework for Urban Planning","… Decreased pollutants in waterways would help meet water quality standards, decrease … supporting local economies and economically resilient communities. Two potential risks were …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,,,,,,,,"Ecology and …",,,,,,,,,"Cited By (since 2022): 5",,,,,,,,,,,,,,,,,"Ecosystem connectivity for livable cities: a connectivity benefits Framework for Urban Planning",,,,JOUR,,"https://pdxscholar.library.pdx.edu/esm_fac/361/ https://pdxscholar.library.pdx.edu/cgi/viewcontent.cgi?article=1370&context=esm_fac",,,2022
236,"Imani, M., Lo, S. L., Fakour, H., Kuo, C. Y., Mobasser, S.","Conceptual framework for disaster management in coastal cities using climate change resilience and coping ability","… Furthermore, long-distance transit contributes significantly to air pollution and … through the establishment of a large number of resilient communities [69]. With the global economy …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,,,,,,,,Atmosphere,,,,,,,,,"Cited By (since 2021): 6",,,,,,,,,,,,,,,,,"Conceptual framework for disaster management in coastal cities using climate change resilience and coping ability",,,,JOUR,,https://www.mdpi.com/2073-4433/13/1/16,,,2021
237,"Jaramillo, L. G.","Make cities and human settlements inclusive, safe, resilient and sustainable","… Resilient† communities have better protection against climate … In summary, the SPLTO is the framework of the relationship … three communities due to air pollution caused by the coal dust …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,10.1201/9780367814960-11/make-cities-human-settlements-inclusive-safe-resilient-sustainable-laura-garc%C3%ADa-jaramillo,,,,,,,"… Materials, and the Sustainable Development Goals …",,,,,,,,,"Cited By (since 2020): 8",,,,,,,,,,,,,,,,,"Make cities and human settlements inclusive, safe, resilient and sustainable",,,,JOUR,,https://www.taylorfrancis.com/chapters/edit/10.1201/9780367814960-11/make-cities-human-settlements-inclusive-safe-resilient-sustainable-laura-garc%C3%ADa-jaramillo,,,2020
238,"Joerin, J., Shaw, R., Krishnamurthy, R. R.","Building resilient urban communities","… process of creating safer or disaster resilient communities. … an implementation-oriented framework that can address the … pollution of their urban water bodies and soil contamination. For …",,,,,,,,,,,"GS Search 1b",,,"2024-10-03 23:12:34","2024-10-03 23:12:34",,,,,,,,,,,,,,,,,,"Cited By (since 2014): 6","Query date: 2024-09-27 11:08:34",,,,,,,,,,books.google.com,,,,,,"Building resilient urban communities",,,,BOOK,,https://books.google.com/books?hl=en&lr=&id=qFOVCwAAQBAJ&oi=fnd&pg=PR1&dq=framework+%22resilient+communities%22+pollution%7Cpolluted%7Cpollutants%7Ccontamination%7Ccontaminated%7Ccontaminants%7Ccontaminates&ots=uvYCL9rObR&sig=6I6FhhPlYwICHOpXEdYCcqk2na0,,,2014
239,"Johannessen, Å, Wamsler, C., Becker, P., Fredby, J.","Water and Risk: Developing sustainable and resilient communities","… processes; mainly the successor framework to the Hyogo Framework for Action (HFA2) the … an area of barren ground that has been contaminated with saline after cyclone Aila struck in …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,,,,,,,,,,,,,,,,,"Cited By (since 2014): 1",,,,,,,,,,,,,,,,,"Water and Risk: Developing sustainable and resilient communities",,,,JOUR,,https://portal.research.lu.se/files/5906784/4675836.pdf,,,2014
240,"Kaika, Maria","‘Don’t call me resilient again!’: the New Urban Agenda as immunology … or … what happens when communities refuse to be vaccinated with ‘smart cities’ and indicators","… : a birdhouse that responds to air pollution and glows green, … a simple way to make air pollution visible to citizens in a way … What if, alongside changing the conceptual framework within …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,10.1177/0956247816684763,,,,,"0956-2478 1746-0301",1,"Environment and Urbanization",,,,,,,,,"Cited By (since 2017): 603",,,,,,,89-102,,,,,,,,,89,"‘Don’t call me resilient again!’: the New Urban Agenda as immunology … or … what happens when communities refuse to be vaccinated with ‘smart cities’ and indicators",,,,JOUR,,"https://journals.sagepub.com/doi/abs/10.1177/0956247816684763 https://journals.sagepub.com/doi/full/10.1177/0956247816684763",,29,2017
241,"Khan, A. S., Srivastava, P.","Particle Pollution and Health–Risk and Resilience Evaluation","… a pivotal framework for enhancing societies’ adaptive capacity in the face of particle pollution-… By prioritizing these efforts, we can work towards healthier and more resilient communities. …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,10.1007/978-3-031-52561-2_17,,,,,,,"… Technology to Support Communities and Policy …",,,,,,,,,,,,,,,,,,,,,,,,,,"Particle Pollution and Health–Risk and Resilience Evaluation",,,,JOUR,,"https://link.springer.com/chapter/10.1007/978-3-031-52561-2_17 https://www.researchgate.net/profile/Ambrina_Khan2/publication/378504415_Particle_Pollution_and_Health_-_Risk_and_Resilience_Evaluation/links/66b21fc48f7e1236bc3fae6a/Particle-Pollution-and-Health-Risk-and-Resilience-Evaluation.pdf",,,2024
242,"Khatibi, H., Wilkinson, S., Sweya, L. N., Baghersad, M.","Navigating Climate Change Challenges through Smart Resilient Cities: A Comprehensive Assessment Framework","… Despite the widespread interest in the concept of resilient communities, few studies have … initiatives related to water conservation, pollution prevention, and ecosystem restoration. …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,,,,,,,,Land,,,,,,,,,"Cited By (since 2024): 2",,,,,,,,,,,,,,,,,"Navigating Climate Change Challenges through Smart Resilient Cities: A Comprehensive Assessment Framework",,,,JOUR,,https://www.mdpi.com/2073-445X/13/3/266,,,2024
243,"Kim, E., Park, H.","Two-stage approach to quantify the resilience of maritime hazardous and noxious substance spill accidents","… resilient communities have increased, there have been several efforts to construct frameworks … For example, in 2005, the United Nations proposed the Hyogo Framework (UNISDR [36]), …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,,,,,,,,"International journal of disaster risk reduction",,,,,,,,,"Cited By (since 2018): 12",,,,,,,,,,,,,,,,,"Two-stage approach to quantify the resilience of maritime hazardous and noxious substance spill accidents",,,,JOUR,,https://www.sciencedirect.com/science/article/pii/S221242091830044X,,,2018
244,"Kim, J., Kim, E., Kapsis, K., Lacroix, D.","An Integrated Framework for the Design of Climate-Resilient Buildings in Canada","… Air pollution from wildfires can also present significant health … of the wildfire, outdoor pollutants such as smoke, debris, and … have unique wildfire challenges and air pollution issues, it is …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,10.1007/978-981-19-0507-0_52,,,,,,,"Canadian Society of Civil Engineering …",,,,,,,,,"Cited By (since 2021): 2",,,,,,,,,,,,,,,,,"An Integrated Framework for the Design of Climate-Resilient Buildings in Canada",,,,JOUR,,https://link.springer.com/chapter/10.1007/978-981-19-0507-0_52,,,2021
245,"Krelling, A. F., Lamberts, R., Malik, J., Hong, T.","A simulation framework for assessing thermally resilient buildings and communities","… This study proposes a simulation framework to evaluate and … the evaluation of thermally resilient communities. This is the first … The application of the framework is exemplified through a …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,,,,,,,,"Building and Environment",,,,,,,,,"Cited By (since 2023): 12",,,,,,,,,,,,,,,,,"A simulation framework for assessing thermally resilient buildings and communities",,,,JOUR,,"https://www.sciencedirect.com/science/article/pii/S0360132323009149 https://escholarship.org/content/qt8wj8q3gz/qt8wj8q3gz_noSplash_3c0988361c605146f56deb697834e41d.pdf",,,2023
246,"Kumar, K., Bindu, C. A.","A SCRUTINY OF VARIOUS FRAMEWORKS OF URBAN RESILIENCE INDEX-IN WAKE OF SUSTAINABLE DEVELOPMENT GOALS","… floods to drought, to manmade disasters like pollution and climate change, to epidemics. The … Resilient communities are far less vulnerable to hazards and disasters than less resilient …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,,,,,,,,"EMERGING TRENDS IN DESIGN …",,,,,,,,,,,,,,,,,,,,,,,,,,"A SCRUTINY OF VARIOUS FRAMEWORKS OF URBAN RESILIENCE INDEX-IN WAKE OF SUSTAINABLE DEVELOPMENT GOALS",,,,JOUR,,https://www.academia.edu/download/81128309/ICETDACE_2020_International_Conference_on_Emerging_Trends_in_Design_Architecture_and_Civil_Engineering.pdf#page=19,,,2020
247,"Lak, Azadeh, Hasankhan, Faezeh, Garakani, Seyed Amirhossein","Principles in practice: Toward a conceptual framework for resilient urban design","… To this end, this research proposes a framework to link resilience and urban design by … good governance, providing a multi-dimensional framework for urban design practice. However, …",,,,,,,,,,,"GS Search 1b",,//,"2024-10-03 23:12:34","2024-10-03 23:12:34",,10.1080/09640568.2020.1714561,,,,,"0964-0568 1360-0559",12,"Journal of Environmental Planning and Management",,,,,,,,,"Cited By (since 2020): 54",,,,,,,2194-2226,,,,,,,,,2194,"Principles in practice: Toward a conceptual framework for resilient urban design",,,,JOUR,,https://www.tandfonline.com/doi/abs/10.1080/09640568.2020.1714561,,63,2020
